id;categorie;angle_marketing;format;avatar;prompt;image_reference_a_utiliser
P02;Produit;-;1:1;-;"Packshot studio, coudière VAMOS STRAP en vue 3/4, légèrement inclinée pour montrer le volume du coussinet intérieur, fond gris clair dégradé, éclairage studio doux, ombre portée légère et naturelle.";idem P01
P09;Produit;Maintien du coude;4:5;Homme 35-45 ans;"Photo réaliste, avant-bras et coude d'un homme de profil, la coudière VAMOS STRAP correctement positionnée juste sous l'articulation du coude, peau naturelle, fond studio gris clair, éclairage doux, cadrage serré sur le bras.";Photo 1 (position exacte du produit sur le bras à reproduire)
P08;Produit;-;1:1;-;"Macro photographie, gros plan net sur les graduations numérotées (5 à 10) imprimées en blanc sur la sangle noire de la coudière VAMOS STRAP, netteté absolue sur les chiffres, aucune déformation des chiffres imprimés.";Photo 1 (référence exacte des chiffres à conserver)
P06;Produit;-;1:1;-;"Macro photographie, gros plan sur le système de serrage velcro de la coudière VAMOS STRAP en cours d'ouverture, texture du velcro visible, fond neutre flou, lumière naturelle douce.";Photo 1 (velcro visible en haut de la sangle)
P13;Produit;Ajustement;1:1;Homme 25-35 ans;"Photo réaliste, vue complète du bras montrant comment la coudière VAMOS STRAP se positionne, du poignet jusqu'au-dessus du coude, fond blanc studio, éclairage produit.";Photo 5
P14;Produit;-;1:1;-;"Packshot studio, deux coudières VAMOS STRAP identiques posées côte à côte sur fond beige clair #EDEBE3, présentation du pack Duo Padel, éclairage doux et homogène.";Photo 1 x2
D01;Douleur / Problème;La douleur au coude;4:5;Homme 35-45 ans;"Photo réaliste, joueur de padel assis sur un banc après un match, se tenant le coude avec l'autre main, expression de gêne discrète et crédible, terrain flou en arrière-plan, lumière naturelle fin de journée.";Photo 5 (zone de douleur)
D05;Douleur / Problème;Continuer à jouer;9:16;Homme 45-55 ans;"Photo réaliste, joueur de padel hésitant au bord du terrain, raquette à la main, l'autre main posée sur son coude, expression pensive, terrain flou en arrière-plan.";Photo 5
S01;Problème → Solution;Retour au terrain;1:1;Homme 35-45 ans;"Composition avant/après en deux temps dans une seule image divisée verticalement : à gauche l'homme touchant son coude avec une expression de gêne, à droite le même homme souriant avec la coudière VAMOS STRAP correctement positionnée, même décor de terrain de padel, lumière cohérente entre les deux moitiés.";Photo 1 + Photo 5
S04;Problème → Solution;Retour au terrain;1:1;Homme 35-45 ans;"Photo réaliste, joueur de padel équipé de sa coudière VAMOS STRAP, prêt à reprendre le jeu, expression confiante et sereine, raquette en main, terrain de padel en arrière-plan, lumière naturelle chaude.";Photo 1
S06;Problème → Solution;Confort;1:1;Homme 35-45 ans;"Photo réaliste, joueur de padel souriant naturellement, coudière VAMOS STRAP bien visible sur le bras, expression détendue et confiante, terrain flou en arrière-plan, lumière naturelle.";Photo 1
A01;Padel action;Frappes répétées;9:16;Homme 35-45 ans;"Photo sportive réaliste, joueur de padel en pleine action de smash, bras tendu vers le haut, coudière VAMOS STRAP visible et nette sur l'avant-bras, terrain de padel extérieur flou en arrière-plan, lumière naturelle de fin d'après-midi, style photographie sportive professionnelle.";Photo 1 (fidélité produit sur le bras)
A06;Padel action;Continuer à jouer;4:5;Homme 35-45 ans;"Photo sportive réaliste, joueur de padel après un échange intense, respiration marquée mais expression positive et déterminée, coudière VAMOS STRAP visible sur le bras, terrain flou en arrière-plan.";Photo 1
A09;Padel action;Frappes répétées;1:1;Homme 35-45 ans;"Photo sportive réaliste, gros plan sur l'avant-bras d'un joueur de padel pendant une frappe, muscle contracté, coudière VAMOS STRAP nette et bien positionnée, fond de terrain flou.";Photo 1
A11;Padel action;-;1:1;Femme joueuse de padel;"Photo sportive réaliste, joueuse de padel en plein mouvement de coup droit, coudière VAMOS STRAP visible sur l'avant-bras, terrain extérieur flou, lumière naturelle, style photographie sportive authentique.";Photo 1
U05;UGC;UGC / Témoignage;9:16;Homme 35-45 ans;"Photo style smartphone, homme filmant son bras avec la coudière VAMOS STRAP juste avant d'entrer sur le terrain, angle légèrement en contre-plongée type selfie vidéo, lumière naturelle extérieure.";Photo 1
U02;UGC;UGC / Témoignage;9:16;Homme 35-45 ans;"Photo style smartphone, selfie-like, homme dans un vestiaire de club de padel montrant son bras équipé de la coudière VAMOS STRAP, lumière naturelle un peu crue type vestiaire, ambiance brute et authentique.";Photo 1
U08;UGC;UGC / Témoignage;9:16;Homme 25-35 ans;"Photo style smartphone, après-match, homme souriant et fatigué tenant sa coudière VAMOS STRAP à la main devant le terrain, lumière naturelle du soir, ambiance authentique de fin de session.";Photo 1
U11;UGC;UGC / Témoignage;9:16;Homme 45-55 ans;"Photo style smartphone, homme d'âge mûr filmant un court témoignage face caméra, coudière VAMOS STRAP visible sur son bras posé sur la table, lumière naturelle d'intérieur, ambiance chaleureuse et sincère.";Photo 1
U12;UGC;-;4:5;Homme 35-45 ans;"Photo style smartphone, deux amis joueurs de padel dans le parking après un match, l'un montre sa coudière VAMOS STRAP à l'autre, lumière naturelle du soir, ambiance conviviale et naturelle.";Photo 1
U10;UGC;-;1:1;Homme 25-35 ans;"Photo style smartphone, homme dans son salon essayant sa coudière VAMOS STRAP fraîchement reçue, expression curieuse et satisfaite, lumière naturelle d'intérieur, ambiance déballage authentique.";Photo 1
